ID_REF,203219670028_R01C01,203219670028_R02C01,203219670028_R03C01,203219670028_R04C01,203219670028_R05C01,203219670028_R06C01,203219670145_R01C01,203219670145_R02C01,203219670145_R03C01,203219670145_R04C01,203219670145_R05C01,203219670145_R06C01,203219670153_R01C01,203219670153_R02C01,203219670153_R03C01,203219670153_R04C01,203219670153_R05C01,203219670153_R06C01,203219670191_R01C01,203219670191_R02C01,203219670191_R03C01,203219670191_R04C01,203219670191_R05C01,203219670191_R06C01,203219730092_R01C01,203219730092_R02C01,203219730092_R04C01,203219750033_R01C01,203219750033_R03C01,203219750033_R04C01,203220070080_R01C01,203220070080_R03C01,203220070153_R01C01,203220070153_R02C01,203220070153_R03C01,203220070153_R04C01,203225140050_R01C01,203225140050_R02C01,203225140050_R03C01,203225140050_R04C01,203225140082_R01C01,203225140082_R02C01,203225140082_R03C01,203225140082_R04C01,203225140170_R01C01,203225140170_R02C01,203225140170_R03C01,203225140170_R04C01,203219670028_R07C01,203219670145_R07C01,203219670145_R08C01,203219670153_R07C01,203219670153_R08C01,203219670191_R07C01,203219730092_R06C01,203219730092_R07C01,203219730092_R08C01,203219750033_R06C01,203219750033_R08C01,203220070080_R05C01,203220070080_R06C01,203220070080_R08C01,203220070153_R06C01,203225140050_R05C01,203225140050_R06C01,203225140050_R08C01,203225140082_R06C01,203225140082_R07C01,203225140082_R08C01,203225140170_R06C01,203225140170_R07C01
cg19568003,0.0742652568478894,0.837049062049062,0.0914250867811239,0.785659549982683,0.0667586618431358,0.857504543838823,0.0640641522735284,0.801668837119568,0.0798406793831737,0.799915478223519,0.0801245863344364,0.840427253600906,0.0675470171890799,0.797094870630958,0.184829137343104,0.868027748011956,0.0864963503649635,0.854941841635282,0.0778148662725434,0.855545762397365,0.0891772731053989,0.857641364301527,0.0753162694910268,0.744262693663637,0.0745516525863347,0.766297417915206,0.892520729385652,0.0809895449860109,0.0876732120575294,0.829838185488009,0.092258010852387,0.0956687898089172,0.0768395691134627,0.770601506634546,0.106718031900514,0.754831361073646,0.065933621700287,0.688131584605461,0.0951946915560741,0.611719579654784,0.100561901294856,0.662585754922193,0.118291112065264,0.84956623665147,0.136843180593993,0.775491878743791,0.115515771526002,0.733328379671922,0.113626170571562,0.114595170454545,0.849452291726722,0.123265715001252,0.8526828231457,0.123885075424391,0.86070232225526,0.0705812211334838,0.882497686319342,0.86552179515812,0.834301355230656,0.122631948234194,0.838756326825741,0.80385344283007,0.875182026211775,0.191586648376772,0.703153811915814,0.791928632115548,0.81043617545589,0.185771382893685,0.803487549063767,0.749205601977168,0.17003024330192
cg02710296,0.0756302521008403,0.394419531639263,0.0547635850388144,0.493338008415147,0.070865291131036,0.352976307713812,0.0513859005189217,0.144537568004705,0.0340256900792566,0.397865612648221,0.0733466933867735,0.445107873576945,0.0487235794674719,0.521239220696263,0.0804302417709059,0.240362612216159,0.081298323509148,0.393806990881459,0.0368781359400808,0.403778150009306,0.0465172330682092,0.467802321228004,0.0467958599427439,0.343147910285545,0.0634698727806515,0.234599382633204,0.376329424597764,0.0470762672597535,0.0546484505164945,0.411994784876141,0.0510792463658946,0.0417540087306047,0.0527190289785688,0.224215246636771,0.0648483675505069,0.456784594715629,0.035707080895703,0.252663472552377,0.0787532467532468,0.408867392180572,0.034847267583003,0.165641784074103,0.0403654985440305,0.35812390414962,0.0737547892720306,0.296174781895459,0.0433154625138286,0.372850007277581,0.0526315789473684,0.0985786802030457,0.28442269282959,0.0744785201517348,0.479808268424206,0.0491387636831938,0.311110324316669,0.0511325105113251,0.258287085645718,0.192804283737441,0.372769040466514,0.124009508716323,0.464850517348253,0.239611896224425,0.424236925545326,0.0694524495677233,0.43560715315835,0.361883474564636,0.225511248301431,0.317904993909866,0.469399449486836,0.502483217813677,0.0718893226956374
cg15931205,0.0257436146136437,0.0194095910992001,0.0361740345274923,0.0349340175953079,0.0478885502829778,0.0142007587409002,0.0409820031298905,0.0765311321716091,0.0283319668397559,0.0571610034931724,0.0365980145206697,0.0389700765483647,0.0258755669592799,0.0225207994644736,0.032452325192372,0.0241873441517816,0.0191170921896617,0.0288631507927583,0.034536421859101,0.0322210492495525,0.0258384256363374,0.0225928885337595,0.0235160156443388,0.0136698750767971,0.0146898263027295,0.0187958119442569,0.0152668169860955,0.019226122454912,0.020248330673601,0.0376870074993338,0.0364172292478844,0.0140289003340557,0.0253090909090909,0.0367803242034656,0.027187202121928,0.035897260741854,0.0180722891566265,0.025968116406658,0.0338431198035556,0.0261096605744125,0.0233054153878167,0.0218502367890467,0.0401016149519144,0.0647746789891224,0.0178088803088803,0.018159900451081,0.043726116644741,0.0572275922671353,0.0286425589699744,0.0257788637751985,0.0423997545008183,0.0868691380080393,0.0493266266428687,0.0745890865855754,0.0245318914588966,0.0194433854365231,0.0205288139302666,0.0376805737953329,0.0302749745393945,0.0957418198117436,0.0183339142558383,0.0316134206656864,0.03012912482066,0.0293577981651376,0.0497694938779557,0.0390721905234433,0.11939115268749,0.0441259398496241,0.0222515079324852,0.0397841120758678,0.03514355589802
cg15469871,0.0175997716786377,0.251866706489738,0.0264130694013833,0.295376121463078,0.0402070049631736,0.48602677223471,0.0268835423020445,0.344488418111978,0.0251428571428571,0.409765142150803,0.0244974327734749,0.391460300943074,0.022862511744441,0.516790231138247,0.0810529360717385,0.262076772250409,0.0394438275479168,0.282551863720695,0.0269373748927652,0.369035774538219,0.0214055899226891,0.273745976121592,0.0495398250198841,0.3862227872239,0.020747609388583,0.408715067850698,0.280305636462323,0.0447323392813493,0.0332672432368749,0.275252171476604,0.0283683318116604,0.0241665705387011,0.026893251938624,0.226823723909899,0.0085322596107755,0.367545260915868,0.0394530616656758,0.314928202078132,0.0291040911444847,0.236524794378344,0.016866767121956,0.370964846134511,0.0084753832968288,0.297322716157753,0.019655511301919,0.107216321732925,0.0235539102267469,0.301710193918907,0.154171547572563,0.0593984671486084,0.399992131560312,0.029532324121929,0.323754544650888,0.0343153395994613,0.417925913133581,0.0330046643443349,0.238470527625247,0.302767660117513,0.644572640913479,0.0239891097236762,0.431773211567732,0.531416532407981,0.390316289324175,0.0768258648833658,0.416898071013366,0.261050507598209,0.400041668224773,0.0315894947790317,0.244414194517462,0.262688784352563,0.0675795338104421
cg03538480,0.0982242166225597,0.83878431896053,0.167497999734917,0.671289748965873,0.107693314793412,0.570635864333843,0.137288996615464,0.621343758773546,0.0836526701997554,0.716578389830508,0.111734114930041,0.616936728584098,0.15897449596303,0.787023335230506,0.136526786901227,0.473793908156206,0.0966501188231016,0.592280004964627,0.0947729774843338,0.599452452788021,0.134369855496616,0.785090730750368,0.132032478989294,0.649664628717279,0.067046870507045,0.758301735033896,0.714908168330484,0.131404361534419,0.0989698916895764,0.531915896662267,0.114278631631135,0.115329512893983,0.144129654831127,0.653219643647187,0.0893723826787875,0.644518696660779,0.0628337783711616,0.488407565588774,0.0540164768643794,0.71931746123249,0.161411825827191,0.74968748816243,0.131392132658248,0.539706540586693,0.0800349705929105,0.637468000930882,0.145702265621985,0.584425418371067,0.161085848146617,0.154630982282331,0.613369917685208,0.109976319898524,0.712246160189671,0.0835749352506862,0.701586013190853,0.127120156497294,0.761182856073367,0.665063110264349,0.670536599583384,0.0891135199840394,0.689052346093562,0.820310234850681,0.796243558448603,0.174406332453826,0.659068186362727,0.734820264653007,0.749942533139223,0.133382577955996,0.68005118433834,0.562566223467888,0.13639645553003
cg24960960,0.0392185663924794,0.164747915839619,0.0170985840235106,0.420333190944041,0.0523758933745412,0.0620644599303136,0.037125748502994,0.0372905357564314,0.0461565657505443,0.0463004585093949,0.03635916963518,0.269310928575556,0.11024718579552,0.479820439264034,0.0175631930573731,0.0279033793431699,0.0334868717794514,0.0544849334267694,0.0615859385482356,0.192175950964485,0.025849688846338,0.0242607603607718,0.0194144647066121,0.0377338514150194,0.184815950920245,0.499130328909606,0.0186275143910484,0.0249586715225038,0.0279649067836441,0.189475033651689,0.121005385996409,0.0361081840533895,0.0399560483468185,0.407770794763016,0.0328636602204368,0.0313211657150401,0.0436753748092288,0.468130010405326,0.112162410435422,0.464346590909091,0.0309234976509361,0.266860855926507,0.0825683315180748,0.320390970947187,0.016350732189381,0.0248709526044111,0.0173520267706709,0.0062405529740228,0.016352024274161,0.0354524006886438,0.0396322235868158,0.0570047222846863,0.0784400620429869,0.0427367182905313,0.248352721060766,0.035538005923001,0.0482021970632545,0.0569981502686515,0.0313581073540899,0.0394342091351237,0.280529733859671,0.530179145613229,0.537274849899933,0.0270841723721305,0.0514283154389475,0.0567625981117052,0.226418785416653,0.0245887445887446,0.0517653549098933,0.0329482234489263,0.0114950536435837
cg13900773,0.0378574305275876,0.280092592592593,0.0348776678813118,0.316843555921465,0.0285589574109871,0.208843567707174,0.0099192776029552,0.292747173253236,0.0331032934971666,0.293387959485604,0.0337894297054523,0.237154391974553,0.0330997013660352,0.166587653248511,0.0475185916637531,0.335390946502058,0.0475738343910849,0.16616411111824,0.0427305098871127,0.227518359429126,0.0428135074077521,0.180370548392819,0.0333206397562833,0.240463729188474,0.0331756850744193,0.261708652441276,0.376530242665701,0.0202408548651552,0.0279549718574109,0.18073006932409,0.0337823975928332,0.0191204588910134,0.026641754895855,0.255223980239001,0.0524453694068678,0.170117618130404,0.0263088660878716,0.400599026581805,0.0273662784123035,0.269631559359881,0.0186380298414993,0.262085425749131,0.0356018781280636,0.41134533883218,0.0404474023708228,0.24230339767108,0.0284290460370195,0.126295747831606,0.0409233997901364,0.0021790341578327,0.492847930589753,0.0289179104477612,0.403643336529243,0.0222908312942774,0.497572867744595,0.0401726427622842,0.330402813299233,0.200544184033146,0.210577005393374,0.051901808737189,0.473808897078178,0.200363471149478,0.428689589979913,0.0073308897034321,0.287676631199685,0.302571990088012,0.359094516290638,0.0385599242065372,0.296421449146909,0.502837423312883,0.0638228590035819
cg00982641,0.0268050151318634,0.98232923928346,0.0174313649889769,0.972483004208482,0.0111033658633738,0.97922538412583,0.0273179329011141,0.983373840035351,0.0199479137806838,0.96531059683313,0.0183946907535878,0.991029884395836,0.0120030975735674,0.98126401195687,0.302698109199065,0.979483655639541,0.0285204991087344,0.98246013667426,0.0077683615819209,0.980026380252497,0.0408984244049614,0.979295864055862,0.0124117053481332,0.987824885588464,0.0129093033637056,0.976658828926994,0.964927202681743,0.0153485516548529,0.031767361857665,0.977357036180566,0.0121248863291907,0.0158047646717025,0.0063062010977461,0.975704989154013,0.0256145133242468,0.98932426594022,0.0117603363578067,0.969686015286098,0.105287742899851,0.981894926862938,0.0146562700931344,0.97939483139258,0.0157613148888996,0.970388833499501,0.01440825250883,0.97713292952059,0.0223335138061722,0.972689482866312,0.0782390875659543,0.264109942814979,0.981843065693431,0.0350370531822145,0.974329006135994,0.0550159995508898,0.979143516539875,0.035215120616762,0.977025935564929,0.986546151282906,0.989092950517283,0.10352445540485,0.974942458852651,0.978179614102435,0.984137774756402,0.139698941825227,0.992036177365135,0.97777673655851,0.979536607970343,0.224190437519034,0.991100576897276,0.970000427672377,0.192764386412555
cg02407415,0.0266779103872739,0.27354773357385,0.0223680633761796,0.327983473700938,0.0234960272417707,0.129294338151333,0.0294508817956566,0.152427998059366,0.0307344028800729,0.342695881366311,0.0336941744339575,0.342062826687655,0.0330974497390953,0.234960198708826,0.102481389578164,0.375951302646045,0.0354739827313776,0.337187371873719,0.0436249584184765,0.171159250338066,0.0409627101067277,0.396871219619488,0.0377463445645264,0.204227082821332,0.0417669386895399,0.390561106650256,0.0227759664648347,0.0263599496573906,0.0230073094326488,0.296448426973641,0.0407673860911271,0.0246376199129443,0.0314594691214586,0.21565559841394,0.0410832719233604,0.222514224478861,0.0332813544219202,0.134452417286276,0.0527236696469403,0.386713516519629,0.030379652697728,0.435060902794363,0.0209131535645109,0.338852742544891,0.0375038783741855,0.434704964560975,0.0315085610077336,0.0840993215501269,0.034755951906999,0.118690934546727,0.496404477006051,0.0246007588708669,0.206104347181311,0.0270590224928124,0.117041746841797,0.0514161932398741,0.48504359983811,0.0334906812077806,0.388271806599151,0.032422749664129,0.210481317289424,0.346246006389776,0.351087013231983,0.036158391392539,0.343262774553317,0.404467202814778,0.116495095490624,0.0418211886731926,0.400313950604955,0.4130339688669,0.0535038485877482
cg05372495,0.109502093126593,0.974153370237708,0.0625712874017395,0.982590283496059,0.0147648559970835,0.963985679344936,0.0342869865301124,0.971615703454929,0.0402568422970081,0.971773542238734,0.0174836525529843,0.967774329701527,0.0363016663059944,0.957304014201455,0.381578139392079,0.981356000160378,0.0468303145853194,0.900493235143004,0.0162250496089646,0.956120214982067,0.0719602977667494,0.956825262713207,0.0286008519402706,0.977520463166301,0.0306611310474893,0.960126154539311,0.969191049913941,0.029223601957641,0.0419046019482701,0.94533989565596,0.0206178505377081,0.0637621565929285,0.0273705278959219,0.957299780307569,0.0807128712871287,0.964542645266402,0.0230938416422287,0.964205332409972,0.172321834052852,0.960960334029228,0.0400251875219211,0.957924656711638,0.0140958194450022,0.962819095854839,0.075092692542357,0.950940777927431,0.0536598370020565,0.928351146344458,0.318813916439694,0.342506033827899,0.970408452414686,0.0902663436420165,0.955810662053782,0.146778137077057,0.967537993920973,0.0794746030426469,0.946693776520509,0.959298859255137,0.961952314599783,0.18113365318144,0.972615267209274,0.960388178209087,0.960768398268398,0.270773005904253,0.962980155506557,0.951628136163922,0.911003882015746,0.0598574097373137,0.945090841312816,0.94732504121085,0.34467508032889
