ID_REF,Pearson_Correlation,Mean_Blood,Mean_Sperm
cg19568003,-0.037977548228661784,0.7954343349933357,0.10086479170420189
cg02710296,0.26056605147028905,0.3633097366142585,0.07066594694293872
cg15931205,0.17468852101576554,0.033254370997295564,0.033666530810809676
cg15469871,0.10745941979563718,0.3297040302098247,0.03153124133551501
cg03538480,0.05577348819002503,0.6551718917026694,0.11724850590243475
cg24960960,0.6309063365855015,0.18017721242989534,0.04657918089464169
cg13900773,-0.21704242323028672,0.27894308795776096,0.03254408332945184
cg00982641,0.30216491065284773,0.9794862943996003,0.056710044364182366
cg02407415,0.4628659277761451,0.2988943702068948,0.03959092037573691
cg05372495,0.2863894396881974,0.9595578954608834,0.08726112254377485
cg15814092,0.2661941468399285,0.8446940175304343,0.8061978889913524
cg08083988,-0.0367024663459461,0.9565404429161573,0.030175402061264737
cg13266435,0.06858185515461288,0.23758725754088286,0.08792331430641745
cg05191217,-0.04247104726597761,0.9612640556297622,0.07598233046753917
cg02345638,0.17953303401382936,0.7643830040661737,0.698161154432178
cg18710053,0.05820252628823405,0.28434284590374753,0.02853499567893873
cg19948393,0.1746780202061738,0.6172131095454205,0.03367453710027072
cg22225420,-0.09074121448084438,0.9390981551152392,0.9522838257445999
cg26313599,0.4642692810558685,0.7480705802513331,0.08979063362392956
cg18628255,0.37838223034509694,0.9290198801016597,0.05055291917998162
cg11738485,0.5021637215908681,0.5022460437703284,0.07975067837226787
cg25258098,0.3517035114581103,0.47813367142695296,0.9610129422579119
cg18217622,0.19106237384720692,0.5250723487715189,0.027856443400006665
cg11388673,0.3080700172798763,0.5731042218507872,0.09201837012167226
cg13906646,0.13344516382895916,0.938651387203797,0.9465225865606947
cg24838063,-0.025238366310982547,0.8115483380869252,0.04045503397998411
cg24829409,0.19052913526667722,0.5704528312976979,0.049243075905141986
cg17848838,-0.06929792890931748,0.6353829905452759,0.05135569305295851
cg12051203,0.30819935573789353,0.8126941640142575,0.8425222160290965
cg10351617,0.27489662191234393,0.9348101001211125,0.28981472695183447
cg03314158,0.2642712321363454,0.03311940029302978,0.20990044242841757
cg26173375,0.36394396948449637,0.46245540973238825,0.06556740441374896
cg24371425,0.3738356385403967,0.5638480509510193,0.0331041008235698
cg06035616,0.23631850629712625,0.08637347505743827,0.3064642541224528
cg12475092,0.9113018423512887,0.7701126757740161,0.7454241596045657
cg05475109,0.5519141653533883,0.15590303057623928,0.03250070226309739
cg07600533,-0.12467040720243318,0.8062744779023097,0.09784227810017428
cg11462099,-0.0666338861415607,0.536470897827573,0.9606966214827464
cg24585418,-0.3606313508964593,0.8669206181905026,0.09559789269779559
cg09174681,0.3904051624065707,0.9344110241889478,0.754537867282355
cg02452966,-0.054199409447879945,0.24916652446093154,0.043369094096788637
cg15363314,0.23775921443216574,0.11429014176697112,0.9389914656179118
cg21994712,0.06367944628780789,0.5813640419956029,0.08007838667146869
cg00701051,-0.25872573741658095,0.8877578419534816,0.5017590785485189
cg02820072,0.08266944677886592,0.9457931153799981,0.06884182018372502
cg05221103,0.9373203083105367,0.834547439062873,0.8471506512404325
cg09817162,0.12139394373709116,0.8206989961202075,0.04290633641413804
cg06173319,0.2516227344300157,0.10651168497618124,0.07058492958491547
cg11064039,0.1254132438707618,0.11260730826451713,0.025895920821062436
cg14618186,0.21541263253579393,0.7338455863729489,0.06087068415787771
cg17786496,0.39780307305825063,0.7256688527881296,0.06086971199744834
cg18516241,-0.09158077127202938,0.847693605402598,0.7861472742836918
cg19418458,0.09036876932908403,0.5783728770792999,0.049944523099237116
cg11850943,0.052226294907243564,0.6334177907760922,0.04777544456881401
cg07028389,0.24968566682203397,0.9500422437504363,0.07252139461824172
cg17406915,0.43558094314951173,0.789099109376168,0.6070597886971452
cg02524346,0.0031574563717215757,0.9170727367983168,0.09147428094499974
cg14604444,0.10702141316218651,0.8549490781226481,0.07717320018904371
cg02289343,-0.14241563834568055,0.957371008813425,0.05309664372953167
cg26769838,0.31521914814105717,0.9117341088764415,0.9141015784221012
cg20803293,0.19385245815350235,0.4205825740364116,0.04844077148434718
cg05654197,0.41238314506054974,0.9725944428484902,0.959272881522088
cg18343108,0.18843628147573654,0.8574219477124257,0.04750045830323272
cg23016068,0.24044634415521773,0.6633891814665531,0.05437941399258646
cg09739413,0.026463736439392458,0.5730433880385668,0.03443410948397006
cg08547097,0.17117897979858926,0.9342578148192994,0.9229293957789569
cg18075691,-0.025011777396387,0.4894807071093326,0.768559421188711
cg10523679,0.030161292188450376,0.3481875672298585,0.05902081724539
cg08778598,0.7233275176037398,0.21390598553698767,0.0673705012189237
cg10962762,0.41560894843319063,0.5935519944550147,0.043798833613084474
cg03749207,0.5854448864079381,0.25757266711250343,0.03013045503153733
cg01066472,0.08977553881043947,0.3841923209698814,0.030641981690298376
cg26751406,-0.35017412646966956,0.8735036694150979,0.9455453172330766
cg12954512,0.30310731059547874,0.4610554416284272,0.028116976863910594
cg07747251,0.07496870280203752,0.6956866545548132,0.8914210984147267
cg15145174,-0.2285657549067338,0.9579884049570149,0.969600748248654
cg11917734,0.9468270188333038,0.44398886829743434,0.5016691501404018
cg22545206,0.5599039163398225,0.6396434854998779,0.05765615939060866
cg06043048,0.27495402833515187,0.5995917292653069,0.0644823279519977
cg21657568,0.3363947012146136,0.823955025496334,0.8089457939016717
cg07147421,0.23657349569063468,0.6060863313479053,0.08867678027745282
cg19835973,-0.07931358628194003,0.8396218873671976,0.9663758931620668
cg19096358,0.14818816973779753,0.9377342448398899,0.06527064958060926
cg08656053,0.48860172399331664,0.9776183359893411,0.978350949686679
cg19712189,0.3036043239979766,0.8828216577241316,0.0790665405130804
cg26935333,-0.009728034686241385,0.37535762222303015,0.040685226861183414
cg22452837,-0.04721700504282051,0.31054123416061236,0.1100834334679799
cg08871608,-0.08644324036574663,0.13239001737281056,0.0286596877405805
cg09179646,0.13025240432270377,0.5901861291641605,0.04664511564910712
cg20120208,0.4392716093050287,0.3301558675090716,0.18784477543272401
cg19677184,0.3282830392406959,0.9095107166262332,0.8708894006514701
cg23829273,0.1370481094118718,0.40397950743077865,0.015489971308532555
cg12765123,0.5965184466975273,0.47382114934784625,0.08269752639127224
cg12248480,0.3075469575170315,0.8681151985823904,0.7550553679294828
cg05819186,-0.21470118596211002,0.7977167067952876,0.7840631179506747
cg24654266,-0.04012514298058071,0.32590251935532405,0.013573107502681784
cg11424828,0.6577489526103875,0.1477789483953082,0.027138442190298772
cg00650361,0.09279130663690276,0.49969172721969685,0.05224922766827465
cg13313047,0.09025681621936396,0.9391782283792535,0.9437994868740637
cg22843684,0.3942275041328542,0.8264484849240515,0.10032975684726919
cg24493971,0.9783088101080736,0.0816771569936636,0.08473646727675448
cg05305060,-0.0934649292028827,0.7579349658070635,0.6535945302016141
cg23958373,0.023041590988585166,0.8395976886288603,0.1124445824456336
cg22702833,-0.047323439822291286,0.9682316551082051,0.9230596734789238
cg04546413,0.29978454526208137,0.3921352918248203,0.04732637282778833
cg01072529,0.01486613286007045,0.5629265823349855,0.8900078033514556
cg15764593,0.31732986663646634,0.9340372637057781,0.8822650262056568
cg14013597,-0.03764490646500893,0.8978402885644111,0.07979227182713731
cg14463292,-0.08072524610763365,0.42329681965769,0.023742705637867796
cg02915530,0.23486623811340274,0.7632754817031557,0.40319324043442634
cg06756169,0.16541307436700292,0.0289220910010182,0.014771995667957167
cg05337761,0.324583334697734,0.5128409217215536,0.06911902708905669
cg04947680,0.2744785861962949,0.5179659831596332,0.042036215970105775
cg17952877,-0.33044272456613233,0.6125360025125925,0.09183454179446707
cg15776915,0.4147557448740848,0.881117021596851,0.8559683988299583
cg27169713,-0.11502090632380234,0.7846393828534737,0.19810552405740559
cg01154525,0.34814652091256926,0.7699727278566879,0.7647114335897236
cg18771538,0.1988796261152066,0.9450173929289862,0.09350822556953851
cg01571722,0.10142260557524724,0.31620726939780414,0.07688953139779363
cg23876832,0.7435995881372441,0.3135285443991438,0.8053156228283134
cg23590273,-0.0824497440825597,0.8397985312170267,0.09329938320944438
cg16784985,-0.051662807727020886,0.7442194239350576,0.031595894215836064
cg26108836,-0.11747936180663122,0.6792548079843419,0.6617298768744383
cg06888460,0.30241216859535464,0.7683008635436488,0.052275781503364115
cg11904978,-0.04357014064270073,0.9175547915625264,0.9571228831750457
cg09170412,0.23107296341573072,0.526749729801372,0.08489652036319208
cg27514509,0.29352943208273446,0.9624859126508734,0.9560144415059986
cg27102141,0.3287488249426708,0.7257605620823094,0.02493885560037911
cg26479374,0.1147480822944759,0.849169531406566,0.03525151602038329
cg11977760,0.04183795430286074,0.9451339159222003,0.08995969052124517
cg26703617,0.2011319788722563,0.4697960914665537,0.04753301395199028
cg24530234,0.12902050173736337,0.6741657272295537,0.03536244456475726
cg16399632,-0.07738361285979373,0.8252902949302855,0.03007594672586014
cg02356786,0.3070981741399569,0.24487726870860219,0.03692172806995737
cg02114288,-0.266565284181857,0.9608476756340216,0.4041882938383777
cg07455790,0.20823747368582837,0.596872489978347,0.05343291234398884
cg15816012,0.07230616125314504,0.7258002499715956,0.9657707277031562
cg13944838,-0.13381948724492515,0.7858976809755651,0.09932351731557676
cg19596050,-0.05686630681018316,0.8783366847122576,0.2305238042394014
cg15463284,0.11677294079821089,0.7759970368841221,0.05432883790672458
cg07673080,0.045923630728185505,0.7460145816921789,0.9572418847188793
cg08130307,0.2520575377188326,0.8171012997333615,0.8501354651219285
cg22062537,0.3552225563669135,0.15093373623155265,0.039281373875710124
cg21139325,-0.04033472183889956,0.7122330903975806,0.04259646484551797
cg22535103,-0.013418326884841854,0.7648840666604179,0.07198218948671432
cg27243490,0.07394586663993588,0.9279805850931885,0.8248780959175159
cg05983061,0.07756669000402454,0.43776724740241885,0.036964348942440314
cg16835101,-0.05494171951627145,0.7043259620159502,0.0755813072977527
cg20702390,-0.0831121772786177,0.7804380126665436,0.11148762739392394
cg27097438,-0.318489911004211,0.16836998713566373,0.028178202729085028
cg22613854,-0.10931810795154144,0.5071442711748112,0.08625982792810093
cg19990642,-0.20861490409304423,0.8530319629734899,0.8402595161337605
cg07962338,-0.279683491294721,0.23527612173498216,0.05461776582123461
cg01157046,0.36168439300047267,0.6729352825885225,0.771985451159609
cg26354017,0.10773370370898465,0.4846663398189572,0.031028657355792143
cg01622385,-0.0412983311744666,0.18728132277443882,0.029256471776112264
cg12442246,-0.005008496652568342,0.07475010115080061,0.09594970501548716
cg02188185,0.13532630848538096,0.3692988030844103,0.03614947045594262
cg05343328,-0.32431697314751956,0.6217654652267809,0.1435535969773399
cg18119380,0.0392820859814623,0.9518805922635395,0.06517670909368281
cg18480627,-0.23888152181082817,0.6138731967782195,0.5399318014157568
cg22189786,0.48162309639855905,0.4443553681719266,0.04681768182671766
cg22025232,0.8939635114251717,0.17137240688675512,0.20801635743775626
cg00748494,0.27089409677845616,0.4425962828675761,0.03485112868341161
cg23155965,0.2740134938917858,0.9132658773132115,0.965998628090288
cg25208724,0.06587384698304248,0.0845955851905158,0.03697671991383683
cg20503657,-0.40057684631758905,0.37081848309572374,0.8773208797883477
cg16041981,0.02924568299902836,0.9615898337005778,0.9804941571131717
cg12036817,-0.38796114468546067,0.9647697914386176,0.044432863867674685
cg12758973,0.22988127367067698,0.5351697922268758,0.06789706072991422
cg21665850,0.341533589368667,0.8863272118393685,0.04846305629829295
cg08395793,0.3252547905368325,0.31877335388797673,0.05487980954984151
cg07011961,0.2503866854623968,0.7092322900067684,0.06415471879918279
cg06394109,0.6605188863140249,0.7267464846640138,0.6643197335824592
cg05841700,0.04507068580094117,0.33566768699459215,0.029462798417373703
cg25385873,-0.1162084834952581,0.971336671616072,0.9714864398423445
cg23153615,0.004059381697802408,0.5843124668919302,0.08612401191977738
cg07509935,-0.16719336215353306,0.19071061733738576,0.02034516997536137
cg09397044,-0.1163078126067129,0.5926167462669633,0.09893528089136987
cg08355456,0.7850589910961165,0.3865612741605883,0.8231696853218068
cg16516272,0.016461258025205705,0.45876871523184987,0.9258161171012658
cg16571642,-0.3643341923704306,0.8085025784711268,0.9029594959689538
cg08709360,0.28027966120956815,0.8983799776854898,0.0667798743405074
cg23467713,0.02693933458762433,0.8132922585315085,0.15321583754296667
cg08818829,0.21204036251063932,0.814094098673988,0.0681010019847997
cg00557959,0.06513447181235095,0.9019892178392155,0.9700249863295473
cg14023239,-0.1641363482354239,0.8871819169328932,0.04827575299952584
cg25452165,0.1354535463731818,0.8691375506065772,0.11514361799638669
